Name,Value
s,0.03557894736842106
u_bar,0.05974999999999999
x_bar,0.557752047505985
GC_bar,0.19191729280673472
M_bar,0.5
M_bar_l,0.0
M_bar_h,2.0
epsilon,1.0
epsilon_h,1.5
epsilon_l,0.5
eta,0.6
eta_l,0.5
eta_h,0.7
omega,0.7071671173494025
rho,1.080804575426955
tau,0.03873194401199106
m_bar,0.5100528390820994
z0,2.827830175507158
z1,2.2609135556386306
GY_bar,0.16101561237928397
